                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2002,                 5.5066,                 2.1336,                0.64934,                0.25294,                0.35188,                0.16122,                  2.047,                 2.1145,                 2.2412,                 0.0705,              0.0032778,              0.0032778
                      1,                 1.7871,                 1.9304,                 1.6964,                0.26978,                0.25882,                0.17528,                 0.0697,                 2.1169,                 2.6976,                 2.3086,               0.040173,              0.0062839,              0.0062839
                      2,                  1.647,                 1.6818,                 1.5908,                 0.4382,                0.41765,                0.33066,                 0.1245,                  2.253,                 2.3278,                  2.392,              0.0095155,              0.0089599,              0.0089599
                      3,                 1.7115,                 1.5781,                 1.5862,                0.39447,                0.25882,                0.23933,                0.10584,                 2.4655,                 3.0846,                 2.5606,               0.008515,               0.008515,               0.008515
                      4,                 1.7867,                 1.6104,                 1.6756,                0.29009,                0.18824,                0.15948,                0.06314,                 2.2512,                 3.0973,                  2.315,               0.008515,               0.008515,               0.008515
                      5,                 1.8014,                  1.465,                 1.6681,                0.15033,                0.07182,                0.04411,                0.01486,                 2.5093,                 4.4441,                 2.7769,                0.00802,                0.00802,                0.00802
                      6,                 1.7362,                 1.4377,                 1.7078,                0.65295,                0.28824,                0.31255,                0.13489,                 2.1842,                 2.6822,                 2.3877,               0.007525,               0.007525,               0.007525
                      7,                  1.689,                  1.367,                  1.666,                 0.6104,                0.33529,                0.42568,                0.18573,                 2.3998,                 2.0039,                 2.4992,                0.00703,                0.00703,                0.00703
                      8,                 1.6905,                 1.3323,                 1.6667,                0.45858,                0.31176,                0.33845,                 0.1575,                  2.253,                 2.4418,                 2.2842,               0.006535,               0.006535,               0.006535
                      9,                 1.6371,                 1.3041,                 1.6139,                0.47237,                0.30588,                0.27899,                0.10644,                 2.5222,                 2.4726,                 2.5325,                0.00604,                0.00604,                0.00604
                     10,                 1.5844,                 1.0638,                 1.6235,                0.55831,                0.27059,                0.26781,                0.12602,                  2.487,                 2.6305,                 2.4059,               0.005545,               0.005545,               0.005545
                     11,                 1.5463,                0.99969,                 1.5822,                0.66828,                0.26471,                0.29797,                0.12336,                 2.3503,                 2.7504,                 2.5981,                0.00505,                0.00505,                0.00505
                     12,                 1.6101,                0.93373,                 1.6597,                 0.6908,                0.34706,                0.48068,                0.19716,                 2.2887,                 2.4599,                 2.4267,               0.004555,               0.004555,               0.004555
                     13,                 1.5863,                0.95293,                 1.6259,                0.48557,                0.44118,                0.44694,                0.20128,                  2.234,                 2.1413,                 2.3697,                0.00406,                0.00406,                0.00406
                     14,                 1.5136,                0.90111,                  1.578,                0.72965,                0.43529,                0.52678,                0.24423,                 2.1887,                  1.886,                 2.2676,               0.003565,               0.003565,               0.003565
                     15,                 1.4749,                0.80698,                 1.5429,                0.68007,                0.40588,                0.48952,                0.22112,                 2.2003,                 2.0265,                 2.2882,                0.00307,                0.00307,                0.00307
                     16,                 1.4412,                0.78136,                 1.5128,                0.58913,                0.42941,                0.50239,                0.23385,                 2.2314,                 2.2172,                   2.31,               0.002575,               0.002575,               0.002575
                     17,                 1.3728,                0.72428,                 1.4409,                0.64817,                0.44118,                0.51948,                0.25057,                  2.149,                 2.0052,                 2.1903,                0.00208,                0.00208,                0.00208
                     18,                 1.4046,                 0.7384,                 1.4753,                0.58326,                0.45294,                 0.4804,                0.23897,                 2.1328,                 2.0997,                 2.2114,               0.001585,               0.001585,               0.001585
                     19,                 1.3563,                0.71428,                 1.4449,                0.67038,                0.43529,                0.50086,                0.25612,                  2.112,                 2.1285,                 2.1609,                0.00109,                0.00109,                0.00109
